Title,Link,Inferred Organism,PMCID,PMID,pub_date,first_author,abstract
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,mouse,PMC4136787,25133741,2014,Andreev-Andrievskiy A,"1. PLoS One. 2014 Aug 18;9(8):e104830. doi: 10.1371/journal.pone.0104830. 
eCollection 2014.

Mice in Bion-M 1 space mission: training and selection.

Andreev-Andrievskiy A(1), Popova A(1), Boyle R(2), Alberts J(3), Shenkman B(4), 
Vinogradova O(4), Dolgov O(5), Anokhin K(6), Tsvirkun D(4), Soldatov P(4), 
Nemirovskaya T(4), Ilyin E(4), Sychev V(4).

Author information:
(1)Institute for Biomedical Problems, Russian Academy of Sciences, Moscow, 
Russia; Moscow State University, Biology Faculty, Moscow, Russia.
(2)Bio-Visualization, Imaging and Simulation Technology Center (BioVIS), NASA 
Ames Research Center, Moffett Field, California, United States of America.
(3)Indiana University, Department of Psychological and Brain Sciences, 
Bloomington, Indiana, United States of America.
(4)Institute for Biomedical Problems, Russian Academy of Sciences, Moscow, 
Russia.
(5)Anokhin Institute of Normal Physiology, Russian Academy of Medical Sciences, 
Moscow, Russia.
(6)Anokhin Institute of Normal Physiology, Russian Academy of Medical Sciences, 
Moscow, Russia; Kurchatov NBIC-center, National Research Centre ""Kurchatov 
Institute"", Moscow, Russia.

After a 16-year hiatus, Russia has resumed its program of biomedical research in 
space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 
19-May 19, 2013). The principal species for biomedical research in this project 
was the mouse. This paper presents an overview of the scientific goals, the 
experimental design and the mouse training/selection program. The aim of mice 
experiments in the Bion-M 1 project was to elucidate cellular and molecular 
mechanisms, underlying the adaptation of key physiological systems to long-term 
exposure in microgravity. The studies with mice combined in vivo measurements, 
both in flight and post-flight (including continuous blood pressure 
measurement), with extensive in vitro studies carried out shortly after return 
of the mice and in the end of recovery study. Male C57/BL6 mice group housed in 
space habitats were flown aboard the Bion-M 1 biosatellite, or remained on 
ground in the control experiment that replicated environmental and housing 
conditions in the spacecraft. Vivarium control groups were used to account for 
housing effects and possible seasonal differences. Mice training included the 
co-adaptation in housing groups and mice adaptation to paste food diet. The 
measures taken to co-adapt aggressive male mice in housing groups and the 
peculiarities of ""space"" paste food are described. The training program for mice 
designated for in vivo studies was broader and included behavioral/functional 
test battery and continuous behavioral measurements in the home-cage. The 
results of the preliminary tests were used for the selection of homogenous 
groups. After the flight, mice were in good condition for biomedical studies and 
displayed signs of pronounced disadaptation to Earth's gravity. The outcomes of 
the training program for the mice welfare are discussed. We conclude that our 
training program was effective and that male mice can be successfully employed 
in space biomedical research.

DOI: 10.1371/journal.pone.0104830
PMCID: PMC4136787
PMID: 25133741 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: The authors have declared 
that no competing interests exist."
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,human cell line,PMC3630201,23637819,2013,Blaber EA,"1. PLoS One. 2013 Apr 18;8(4):e61372. doi: 10.1371/journal.pone.0061372. Print 
2013.

Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic 
osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21.

Blaber EA(1), Dvorochkin N, Lee C, Alwood JS, Yousuf R, Pianetta P, Globus RK, 
Burns BP, Almeida EA.

Author information:
(1)Space Biosciences Division, NASA Ames Research Center, Moffett Field, 
California, USA.

Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical 
stimulation for maintenance of mineral content and structure. Homeostasis in 
bone occurs through a balance in the activities and signaling of osteoclasts, 
osteoblasts, and osteocytes, as well as proliferation and differentiation of 
their stem cell progenitors. Microgravity and unloading are known to cause 
osteoclast-mediated bone resorption; however, we hypothesize that osteocytic 
osteolysis, and cell cycle arrest during osteogenesis may also contribute to 
bone loss in space. To test this possibility, we exposed 16-week-old female 
C57BL/6J mice (n = 8) to microgravity for 15-days on the STS-131 space shuttle 
mission. Analysis of the pelvis by µCT shows decreases in bone volume fraction 
(BV/TV) of 6.29%, and bone thickness of 11.91%. TRAP-positive osteoclast-covered 
trabecular bone surfaces also increased in microgravity by 170% (p = 0.004), 
indicating osteoclastic bone degeneration. High-resolution X-ray nanoCT studies 
revealed signs of lacunar osteolysis, including increases in cross-sectional 
area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter 
(+6%, p = 0.037). Expression of matrix metalloproteinases (MMP) 1, 3, and 10 in 
bone, as measured by RT-qPCR, was also up-regulated in microgravity (+12.94, 
+2.98 and +16.85 fold respectively, p<0.01), with MMP10 localized to osteocytes, 
and consistent with induction of osteocytic osteolysis. Furthermore, expression 
of CDKN1a/p21 in bone increased 3.31 fold (p<0.01), and was localized to 
osteoblasts, possibly inhibiting the cell cycle during tissue regeneration as 
well as conferring apoptosis resistance to these cells. Finally the apoptosis 
inducer Trp53 was down-regulated by -1.54 fold (p<0.01), possibly associated 
with the quiescent survival-promoting function of CDKN1a/p21. In conclusion, our 
findings identify the pelvic and femoral region of the mouse skeleton as an 
active site of rapid bone loss in microgravity, and indicate that this loss is 
not limited to osteoclastic degradation. Therefore, this study offers new 
evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated 
osteogenic cell cycle arrest.

DOI: 10.1371/journal.pone.0061372
PMCID: PMC3630201
PMID: 23637819 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: The authors have declared 
that no competing interests exist."
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,human cell line,PMC11988870,40243850,2025 Mar 27,López Garzón NA,"1. Int J Mol Sci. 2025 Mar 27;26(7):3058. doi: 10.3390/ijms26073058.

Microgravity and Cellular Biology: Insights into Cellular Responses and 
Implications for Human Health.

López Garzón NA(1), Pinzón-Fernández MV(1), Saavedra T JS(1), Nati-Castillo 
HA(2), Arias-Intriago M(3), Salazar-Santoliva C(3), Izquierdo-Condoy JS(3).

Author information:
(1)Grupo de Investigación en Salud (GIS), Departamento de Medicina Interna, 
Universidad del Cauca, Popayan 190003, Colombia.
(2)Interinstitutional Internal Medicine Group (GIMI 1), Department of Internal 
Medicine, Universidad Libre, Cali 760031, Colombia.
(3)One Health Research Group, Universidad de las Américas, Quito 170124, 
Ecuador.

Microgravity, defined by minimal gravitational forces, represents a unique 
environment that profoundly influences biological systems, including human 
cells. This review examines the effects of microgravity on biological processes 
and their implications for human health. Microgravity significantly impacts the 
immune system by disrupting key mechanisms, such as T cell activation, cytokine 
production, and macrophage differentiation, leading to increased susceptibility 
to infections. In cancer biology, it promotes the formation of spheroids in 
cancer stem cells and thyroid cancer cells, which closely mimic in vivo tumor 
dynamics, providing novel insights for oncology research. Additionally, 
microgravity enhances tissue regeneration by modulating critical pathways, 
including Hippo and PI3K-Akt, thereby improving stem cell differentiation into 
hematopoietic and cardiomyocyte lineages. At the organ level, microgravity 
induces notable changes in hepatic metabolism, endothelial function, and bone 
mechanotransduction, contributing to lipid dysregulation, vascular remodeling, 
and accelerated bone loss. Notably, cardiomyocytes derived from human 
pluripotent stem cells and cultured under microgravity exhibit enhanced 
mitochondrial biogenesis, improved calcium handling, and advanced structural 
maturation, including increased sarcomere length and nuclear eccentricity. These 
advancements enable the development of functional cardiomyocytes, presenting 
promising therapeutic opportunities for treating cardiac diseases, such as 
myocardial infarctions. These findings underscore the dual implications of 
microgravity for space medicine and terrestrial health. They highlight its 
potential to drive advances in regenerative therapies, oncology, and 
immunological interventions. Continued research into the biological effects of 
microgravity is essential for protecting astronaut health during prolonged space 
missions and fostering biomedical innovations with transformative applications 
on Earth.

DOI: 10.3390/ijms26073058
PMCID: PMC11988870
PMID: 40243850 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflicts of interest."
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,human cell line,PMC7998608,33806638,2021 Mar 4,Mashiko T,"1. Cells. 2021 Mar 4;10(3):560. doi: 10.3390/cells10030560.

Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in 
Microgravity Culture with Stirred Microspheres.

Mashiko T(1)(2), Kanayama K(1), Saito N(1), Shirado T(1), Asahi R(1), Mori M(1), 
Yoshimura K(1).

Author information:
(1)Department of Plastic Surgery, Jichi Medical University 3311-1, Yakushiji, 
Shimotsuke-Shi, Tochigi 329-0498, Japan.
(2)Department of Plastic Surgery, Toranomon Hospital 2-2-2, Toranomon, 
Minato-Ku, Tokyo 105-8470, Japan.

Therapeutic effects of adult stem-cell transplantations are limited by poor 
cell-retention in target organs, and a reduced potential for optimal cell 
differentiation compared to embryonic stem cells. However, contemporary studies 
have indicated heterogeneity within adult stem-cell pools, and a novel culturing 
technique may address these limitations by selecting those for cell 
proliferation which are highly functional. Here, we report the preservation of 
stemness in human adipose-derived stem cells (hASCs) by using microgravity 
conditions combined with microspheres in a stirred suspension. The cells were 
bound to microspheres (100-300 μm) and cultured using a wave-stirring shaker. 
One-week cultures using polystyrene and collagen microspheres increased the 
proportions of SSEA-3(+) hASCs 4.4- and 4.3-fold (2.7- and 2.9-fold increases in 
their numbers), respectively, compared to normal culture conditions. These 
cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, 
NANOG, MYC, and KLF), and had improved abilities for proliferation, colony 
formation, network formation, and multiple-mesenchymal differentiation. We 
believe that this novel culturing method may further enhance regenerative 
therapies using hASCs.

DOI: 10.3390/cells10030560
PMCID: PMC7998608
PMID: 33806638 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,human cell line,PMC5587110,28877184,2017,Parra M,"1. PLoS One. 2017 Sep 6;12(9):e0183480. doi: 10.1371/journal.pone.0183480. 
eCollection 2017.

Microgravity validation of a novel system for RNA isolation and multiplex 
quantitative real time PCR analysis of gene expression on the International 
Space Station.

Parra M(1), Jung J(2)(3), Boone TD(4)(5), Tran L(1)(3), Blaber EA(1)(6), Brown 
M(7), Chin M(2)(5), Chinn T(2)(5), Cohen J(4), Doebler R(7), Hoang D(2)(5), Hyde 
E(2)(5), Lera M(3)(8), Luzod LT(2), Mallinson M(2), Marcu O(1)(3), Mohamedaly 
Y(2)(5), Ricco AJ(9)(10), Rubins K(11), Sgarlato GD(2)(3), Talavera RO(2)(5), 
Tong P(2)(5), Uribe E(6), Williams J(11), Wu D(3)(9), Yousuf R(1)(3), Richey 
CS(6), Schonfeld J(2), Almeida EAC(1).

Author information:
(1)Space Biosciences Research Branch, NASA Ames Research Center, Moffett Field, 
California, United States of America.
(2)Engineering Systems Division, NASA Ames Research Center, Moffett Field, 
California, United States of America.
(3)KBRWyle, Mountain View, California, United States of America.
(4)Office of the Director, NASA Ames Research Center, Moffett Field, California, 
United States of America.
(5)Millenium Engineering & Integration Co, Mountain View, California, United 
States of America.
(6)Universities Space Research Association, Mountain View, California, United 
States of America.
(7)Applications Development, Claremont Biosolutions, Upland, California, United 
States of America.
(8)Flight Systems Implementation Branch, NASA Ames Research Center, Moffett 
Field, California, United States of America.
(9)Mission Design Division, NASA Ames Research Center, Moffett Field, 
California, United States of America.
(10)Stanford University, Palo Alto, California, United States of America.
(11)NASA Astronaut Corps, NASA Johnson Space Center, Houston, Texas, United 
States of America.

The International Space Station (ISS) National Laboratory is dedicated to 
studying the effects of space on life and physical systems, and to developing 
new science and technologies for space exploration. A key aspect of achieving 
these goals is to operate the ISS National Lab more like an Earth-based 
laboratory, conducting complex end-to-end experimentation, not limited to simple 
microgravity exposure. Towards that end NASA developed a novel suite of 
molecular biology laboratory tools, reagents, and methods, named WetLab-2, 
uniquely designed to operate in microgravity, and to process biological samples 
for real-time gene expression analysis on-orbit. This includes a novel fluidic 
RNA Sample Preparation Module and fluid transfer devices, all-in-one lyophilized 
PCR assays, centrifuge, and a real-time PCR thermal cycler. Here we describe the 
results from the WetLab-2 validation experiments conducted in microgravity 
during ISS increment 47/SPX-8. Specifically, quantitative PCR was performed on a 
concentration series of DNA calibration standards, and Reverse 
Transcriptase-quantitative PCR was conducted on RNA extracted and purified 
on-orbit from frozen Escherichia coli and mouse liver tissue. Cycle threshold 
(Ct) values and PCR efficiencies obtained on-orbit from DNA standards were 
similar to Earth (1 g) controls. Also, on-orbit multiplex analysis of gene 
expression from bacterial cells and mammalian tissue RNA samples was 
successfully conducted in about 3 h, with data transmitted within 2 h of 
experiment completion. Thermal cycling in microgravity resulted in the trapping 
of gas bubbles inside septa cap assay tubes, causing small but measurable 
increases in Ct curve noise and variability. Bubble formation was successfully 
suppressed in a rapid follow-up on-orbit experiment using standard caps to 
pressurize PCR tubes and reduce gas release during heating cycles. The WetLab-2 
facility now provides a novel operational on-orbit research capability for 
molecular biology and demonstrates the feasibility of more complex wet bench 
experiments in the ISS National Lab environment.

DOI: 10.1371/journal.pone.0183480
PMCID: PMC5587110
PMID: 28877184 [Indexed for MEDLINE]

Conflict of interest statement: Competing Interests: NASA provided both the 
funding and employs the majority of the authors that conducted this study, which 
may be perceived as a competing interest, however, the funding organization 
within NASA (ISS Program at Jonhson Space Center) is distinct from the 
performing organizations (Space Biosciences and Engineering Systems Divisions at 
NASA Ames Research Center), and the project leadership including the 
corresponding author (EACA) and project Managers (CSR and JS) are protected from 
funder influence by academic tenure-like civil service positions. In addition MB 
and RD are employed by Claremont Biosolutions and may benefit in their 
employment from the publication of their contributions."
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,human cell line,PMC8396460,34445793,2021 Aug 23,Kumar A,"1. Int J Mol Sci. 2021 Aug 23;22(16):9088. doi: 10.3390/ijms22169088.

Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle 
Related Genes in Heart.

Kumar A(1), Tahimic CGT(2), Almeida EAC(1), Globus RK(1).

Author information:
(1)Space Biosciences Division, NASA Ames Research Center, Mail Stop 288-2, 
Moffett Field, CA 94035, USA.
(2)Department of Biology, University of North Florida, Jacksonville, FL 32224, 
USA.

Spaceflight causes cardiovascular changes due to microgravity-induced 
redistribution of body fluids and musculoskeletal unloading. Cardiac 
deconditioning and atrophy on Earth are associated with altered Trp53 and 
oxidative stress-related pathways, but the effects of spaceflight on cardiac 
changes at the molecular level are less understood. We tested the hypothesis 
that spaceflight alters the expression of key genes related to stress response 
pathways, which may contribute to cardiovascular deconditioning during extended 
spaceflight. Mice were exposed to spaceflight for 15 days or maintained on Earth 
(ground control). Ventricle tissue was harvested starting ~3 h post-landing. We 
measured expression of select genes implicated in oxidative stress pathways and 
Trp53 signaling by quantitative PCR. Cardiac expression levels of 37 of 168 
genes tested were altered after spaceflight. Spaceflight downregulated 
transcription factor, Nfe2l2 (Nrf2), upregulated Nox1 and downregulated Ptgs2, 
suggesting a persistent increase in oxidative stress-related target genes. 
Spaceflight also substantially upregulated Cdkn1a (p21) and cell 
cycle/apoptosis-related gene Myc, and downregulated the inflammatory response 
gene Tnf. There were no changes in apoptosis-related genes such as Trp53. 
Spaceflight altered the expression of genes regulating redox balance, cell cycle 
and senescence in cardiac tissue of mice. Thus, spaceflight may contribute to 
cardiac dysfunction due to oxidative stress.

DOI: 10.3390/ijms22169088
PMCID: PMC8396460
PMID: 34445793 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,human cell line,PMC5666799,28994728,2017 Oct 10,Alwood JS,"1. Int J Mol Sci. 2017 Oct 10;18(10):2117. doi: 10.3390/ijms18102117.

Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like 
Radiation Exposure in the Skeletal System.

Alwood JS(1), Tran LH(2), Schreurs AS(3), Shirazi-Fard Y(4), Kumar A(5), Hilton 
D(6), Tahimic CGT(7)(8), Globus RK(9).

Author information:
(1)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. joshua.s.alwood@nasa.gov.
(2)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. luan.h.tran@nasa.gov.
(3)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. 
ann-sofie.schreurs@nasa.gov.
(4)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. 
yasaman.shirazi-fard@nasa.gov.
(5)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. akhilesh482@gmail.com.
(6)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. Hilton.Diane@att.net.
(7)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. 
candiceginn.t.tahimic@nasa.gov.
(8)Wyle Laboratories, Mail-Stop 236-7, Moffett Field, CA 94035, USA. 
candiceginn.t.tahimic@nasa.gov.
(9)Bone and Signaling Laboratory, Space BioSciences Division, NASA Ames Research 
Center, Mail-Stop 236-7, Moffett Field, CA 94035, USA. ruth.k.globus@nasa.gov.

Space radiation may pose a risk to skeletal health during subsequent aging. 
Irradiation acutely stimulates bone remodeling in mice, although the long-term 
influence of space radiation on bone-forming potential (osteoblastogenesis) and 
possible adaptive mechanisms are not well understood. We hypothesized that 
ionizing radiation impairs osteoblastogenesis in an ion-type specific manner, 
with low doses capable of modulating expression of redox-related genes. 16-weeks 
old, male, C57BL6/J mice were exposed to low linear-energy-transfer (LET) 
protons (150 MeV/n) or high-LET 56Fe ions (600 MeV/n) using either low (5 or 10 
cGy) or high (50 or 200 cGy) doses at NASA's Space Radiation Lab. Five weeks or 
one year after irradiation, tissues were harvested and analyzed by microcomputed 
tomography for cancellous microarchitecture and cortical geometry. 
Marrow-derived, adherent cells were grown under osteoblastogenic culture 
conditions. Cell lysates were analyzed by RT-PCR during the proliferative or 
mineralizing phase of growth, and differentiation was analyzed by imaging 
mineralized nodules. As expected, a high dose (200 cGy), but not lower doses, of 
either 56Fe or protons caused a loss of cancellous bone volume/total volume. 
Marrow cells produced mineralized nodules ex vivo regardless of radiation type 
or dose; 56Fe (200 cGy) inhibited osteoblastogenesis by more than 90% (5 weeks 
and 1 year post-IR). After 5 weeks, irradiation (protons or 56Fe) caused few 
changes in gene expression levels during osteoblastogenesis, although a high 
dose 56Fe (200 cGy) increased Catalase and Gadd45. The addition of exogenous 
superoxide dismutase (SOD) protected marrow-derived osteoprogenitors from the 
damaging effects of exposure to low-LET (137Cs γ) when irradiated in vitro, but 
had limited protective effects on high-LET 56Fe-exposed cells. In sum, either 
protons or 56Fe at a relatively high dose (200 cGy) caused persistent bone loss, 
whereas only high-LET 56Fe increased redox-related gene expression, albeit to a 
limited extent, and inhibited osteoblastogenesis. Doses below 50 cGy did not 
elicit widespread responses in any parameter measured. We conclude that high-LET 
irradiation at 200 cGy impaired osteoblastogenesis and regulated steady-state 
gene expression of select redox-related genes during osteoblastogenesis, which 
may contribute to persistent bone loss.

DOI: 10.3390/ijms18102117
PMCID: PMC5666799
PMID: 28994728 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflict of interest."
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,human,PMC5460236,28649627,2017,Alwood JS,"1. NPJ Microgravity. 2017 Jan 12;3:5. doi: 10.1038/s41526-016-0002-8. eCollection
 2017.

From the bench to exploration medicine: NASA life sciences translational 
research for human exploration and habitation missions.

Alwood JS(1), Ronca AE(1)(2), Mains RC(3), Shelhamer MJ(4), Smith JD(1), Goodwin 
TJ(5).

Author information:
(1)Space BioSciences Division, NASA Ames Research Center, Moffett Field, CA USA.
(2)Wake Forest School of Medicine, Winston-Salem, NC USA.
(3)Mains Associates, Berkeley, CA USA.
(4)Human Research Program, NASA Johnson Space Center, Houston, TX USA.
(5)Biomedical Research and Environmental Sciences Division, NASA Johnson Space 
Center, Houston, TX USA.

NASA's Space Biology and Human Research Program entities have recently 
spearheaded communications both internally and externally to coordinate the 
agency's translational research efforts. In this paper, we strongly advocate for 
translational research at NASA, provide recent examples of NASA sponsored 
early-stage translational research, and discuss options for a path forward. Our 
overall objective is to help in stimulating a collaborative research across 
multiple disciplines and entities that, working together, will more effectively 
and more rapidly achieve NASA's goals for human spaceflight.

DOI: 10.1038/s41526-016-0002-8
PMCID: PMC5460236
PMID: 28649627"
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,cell culture,PMC6222041,30417036,2018 Dec,Pendleton MM,"1. Bone Rep. 2018 Oct 27;9:165-172. doi: 10.1016/j.bonr.2018.10.002. eCollection 
2018 Dec.

High-precision method for cyclic loading of small-animal vertebrae to assess 
bone quality.

Pendleton MM(1), Sadoughi S(1), Li A(2), O'Connell GD(1)(3), Alwood JS(4), 
Keaveny TM(1)(5).

Author information:
(1)Department of Mechanical Engineering, University of California, Berkeley, CA, 
USA.
(2)Endocrine Research Unit, University of California and Veteran Affairs Medical 
Center, San Francisco, CA, USA.
(3)Department of Orthopaedic Surgery, University of California, San Francisco, 
CA, USA.
(4)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA, 
USA.
(5)Department of Bioengineering, University of California, Berkeley, CA, USA.

One potentially important bone quality characteristic is the response of bone to 
cyclic (repetitive) mechanical loading. In small animals, such as in rats and 
mice, cyclic loading experiments are particularly challenging to perform in a 
precise manner due to the small size of the bones and difficult-to-eliminate 
machine compliance. Addressing this issue, we developed a precise method for ex 
vivo cyclic compressive loading of isolated mouse vertebral bodies. The method 
has three key characteristics: 3D-printed support jigs for machining 
plano-parallel surfaces of the tiny vertebrae; pivotable loading platens to 
ensure uniform contact and loading of specimen surfaces; and specimen-specific 
micro-CT-based finite element analysis to measure stiffness to prescribe force 
levels that produce the same specified level of strain for all test specimens. 
To demonstrate utility, we measured fatigue life for three groups (n = 5-6 per 
group) of L5 vertebrae of C57BL/6J male mice, comparing our new method against 
two methods commonly used in the literature. We found reduced scatter of the 
mechanical behavior for this new method compared to the literature methods. In 
particular, for a controlled level of strain, the standard deviation of the 
measured fatigue life was up to 5-fold lower for the new method (F-ratio = 4.9; 
p < 0.01). The improved precision for this new method for biomechanical testing 
of small-animal vertebrae may help elucidate aspects of bone quality.

DOI: 10.1016/j.bonr.2018.10.002
PMCID: PMC6222041
PMID: 30417036"
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,mouse,PMC6813909,31445224,2019 Nov,Pendleton MM,"1. Bone. 2019 Nov;128:115043. doi: 10.1016/j.bone.2019.115043. Epub 2019 Aug 21.

Effects of ex vivo ionizing radiation on collagen structure and whole-bone 
mechanical properties of mouse vertebrae.

Pendleton MM(1), Emerzian SR(1), Liu J(2), Tang SY(3), O'Connell GD(4), Alwood 
JS(5), Keaveny TM(6).

Author information:
(1)Department of Mechanical Engineering, University of California, Berkeley, CA, 
USA.
(2)Department of Orthopaedic Surgery, Washington University, St. Louis, MO, USA.
(3)Department of Orthopaedic Surgery, Washington University, St. Louis, MO, USA; 
Department of Biomedical Engineering, Washington University, St. Louis, MO, USA; 
Department of Material Science & Mechanical Engineering, Washington University, 
St. Louis, MO, USA.
(4)Department of Mechanical Engineering, University of California, Berkeley, CA, 
USA; Department of Orthopaedic Surgery, University of California, San Francisco, 
CA, USA.
(5)Space Biosciences Division, NASA Ames Research Center, Moffett Field, CA, 
USA.
(6)Department of Mechanical Engineering, University of California, Berkeley, CA, 
USA; Department of Bioengineering, University of California, Berkeley, CA, USA. 
Electronic address: tonykeaveny@berkeley.edu.

Bone can become brittle when exposed to ionizing radiation across a wide range 
of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to 
sterilization (~35,000 Gy). While irradiation-induced embrittlement has been 
attributed to changes in the collagen molecular structure, the relative role of 
collagen fragmentation versus non-enzymatic collagen crosslinking remains 
unclear. To better understand the effects of radiation on the bone material 
without cellular activity, we conducted an ex vivo x-ray radiation experiment on 
excised mouse lumbar vertebrae. Spinal tissue from twenty-week old, female, 
C57BL/6J mice were randomly assigned to a single x-ray radiation dose of either 
0 (control), 50, 1000, 17,000, or 35,000 Gy. Measurements were made for collagen 
fragmentation, non-enzymatic collagen crosslinking, and both monotonic and 
cyclic-loading compressive mechanical properties. We found that the group 
differences for mechanical properties were more consistent with those for 
collagen fragmentation than for non-enzymatic collagen crosslinking. Monotonic 
strength at 17,000 and 35,000 Gy was lower than that of the control by 50% and 
73% respectively, (p < 0.001) but at 50 and 1000 Gy was not different than the 
control. Consistent with those trends, collagen fragmentation only occurred at 
17,000 and 35,000 Gy. By contrast, non-enzymatic collagen crosslinking was 
greater than control for all radiation doses (p < 0.001). All results were 
consistent both for monotonic and cyclic loading conditions. We conclude that 
the reductions in bone compressive monotonic strength and fatigue life due to ex 
vivo ionizing radiation are more likely caused by fragmentation of the collagen 
backbone than any increases in non-enzymatic collagen crosslinks.

Copyright © 2019 Elsevier Inc. All rights reserved.

DOI: 10.1016/j.bone.2019.115043
PMCID: PMC6813909
PMID: 31445224 [Indexed for MEDLINE]

Conflict of interest statement: Conflict of Interest All authors certify that 
there are no conflicts of interest related to the work presented in this 
manuscript."
